Gene,Diverse_LOF,Nfe_43k_LOF,Nfe_440k_LOF,All_LOF,afr_LOF,asj_LOF,eas_LOF,sas_LOF,nfe_20k_LOF,possible_lof,mu_mis,mu_syn,mu_lof,total_var,LOF_FDR_Diverse43k,LOF_FDR_NFE43k,LOF_FDR_NFE440k,LOF_FDR_FullDataset,LOF_FDR_AFR,LOF_FDR_ASJ,LOF_FDR_EAS,LOF_FDR_SAS,LOF_FDR_NFE20k
CAST,30,19,88,102,10,1,2,6,12,665,1.92E-05,7.52E-06,1.95E-06,808,0.262995684,0.166563933,0.771454005,0.894185324,0.087665228,0.008766523,0.017533046,0.052599137,0.105198273
CASTOR1,3,4,20,23,1,1,0,1,0,NA,NA,NA,NA,347,NA,NA,NA,NA,NA,NA,NA,NA,NA
CASTOR2,1,0,8,8,0,0,0,0,1,NA,NA,NA,NA,269,NA,NA,NA,NA,NA,NA,NA,NA,NA
CASTOR3,5,3,18,20,1,0,0,2,3,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
CASZ1,4,8,36,37,3,1,0,0,3,718,7.82E-05,4.38E-05,2.93E-06,2028,0.038499212,0.076998424,0.346492906,0.356117709,0.028874409,0.009624803,0,0,0.028874409
CAT,21,13,40,54,5,1,2,8,5,301,1.88E-05,6.24E-06,1.30E-06,566,0.35513949,0.219848256,0.676456171,0.913215831,0.084557021,0.016911404,0.033822809,0.135291234,0.084557021
CATIP,16,12,41,52,2,0,3,7,5,NA,NA,NA,NA,450,NA,NA,NA,NA,NA,NA,NA,NA,NA
CATIP-AS1,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
CATSPER1,18,12,60,71,5,1,3,4,6,356,3.13E-05,1.32E-05,1.48E-06,821,0.313633859,0.209089239,1.045446196,1.237111332,0.087120516,0.017424103,0.05227231,0.069696413,0.10454462
CATSPER2,21,20,62,71,10,3,4,4,9,332,1.71E-05,5.92E-06,1.68E-06,527,0.283264644,0.269775852,0.83630514,0.957704273,0.134887926,0.040466378,0.05395517,0.05395517,0.121399133
CATSPER3,12,3,31,37,4,0,0,5,4,193,1.34E-05,5.13E-06,7.89E-07,428,0.321251694,0.080312924,0.82990021,0.990526057,0.107083898,0,0,0.133854873,0.107083898
CATSPER4,19,10,60,68,3,1,2,10,7,250,1.69E-05,6.83E-06,1.31E-06,579,0.296405085,0.156002676,0.936016058,1.060818199,0.046800803,0.015600268,0.031200535,0.156002676,0.109201873
CATSPERB,36,19,73,92,10,0,5,13,12,736,2.91E-05,1.06E-05,2.63E-06,906,0.305977302,0.161488021,0.620453974,0.781941995,0.084993695,0,0.042496848,0.110491804,0.101992434
CATSPERD,24,23,72,83,5,0,5,5,12,511,2.66E-05,1.30E-05,1.92E-06,874,0.279545801,0.267898059,0.838637402,0.966762561,0.058238708,0,0.058238708,0.058238708,0.1397729
CATSPERE,36,28,90,103,15,3,2,5,19,NA,NA,NA,NA,845,NA,NA,NA,NA,NA,NA,NA,NA,NA
CATSPERG,45,42,112,134,14,0,3,11,20,707,3.63E-05,1.64E-05,2.84E-06,1216,0.343010199,0.320142852,0.853714273,1.021408148,0.106714284,0,0.022867347,0.083846938,0.152448977
CATSPERZ,10,5,17,23,4,0,2,1,3,NA,NA,NA,NA,220,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAV1,11,5,18,21,3,2,2,4,6,78,5.78E-06,2.22E-06,2.99E-07,281,0.504740132,0.229427333,0.825938398,0.963594797,0.1376564,0.091770933,0.091770933,0.183541866,0.275312799
CAV2,3,1,12,13,1,1,0,1,0,65,4.22E-06,1.77E-06,2.42E-07,211,0.170444637,0.056814879,0.681778546,0.738593425,0.056814879,0.056814879,0,0.056814879,0
CAV3,3,3,9,12,1,0,2,0,0,60,5.55E-06,2.65E-06,3.48E-07,168,0.204902465,0.204902465,0.614707395,0.81960986,0.068300822,0,0.136601643,0,0
CAVIN1,6,4,21,23,1,0,1,1,3,NA,NA,NA,NA,434,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAVIN2,14,7,31,40,3,0,2,5,4,NA,NA,NA,NA,507,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAVIN3,18,9,30,40,9,2,1,3,8,NA,NA,NA,NA,389,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAVIN4,9,11,30,32,1,1,1,2,6,NA,NA,NA,NA,404,NA,NA,NA,NA,NA,NA,NA,NA,NA
CBARP,19,12,58,65,6,1,2,8,10,NA,NA,NA,NA,1325,NA,NA,NA,NA,NA,NA,NA,NA,NA
CBFA2T2,6,8,25,27,1,0,1,1,3,321,2.21E-05,8.57E-06,1.57E-06,575,0.10116454,0.134886053,0.421518916,0.455240429,0.016860757,0,0.016860757,0.016860757,0.05058227
CBFA2T3,8,12,49,52,2,0,0,1,5,298,3.18E-05,1.62E-05,1.65E-06,1040,0.107071743,0.160607615,0.655814426,0.69596633,0.026767936,0,0,0.013383968,0.066919839
CBFB,1,1,14,14,0,0,0,0,1,136,5.66E-06,1.82E-06,8.75E-07,157,0.030577587,0.030577587,0.42808622,0.42808622,0,0,0,0,0.030577587
CBL,16,14,68,74,5,0,2,3,9,487,2.83E-05,1.10E-05,2.68E-06,893,0.134524515,0.11770895,0.571729187,0.62217588,0.042038911,0,0.016815564,0.025223346,0.075670039
CBLB,9,5,36,42,1,1,2,4,2,580,2.98E-05,1.00E-05,2.87E-06,920,0.070130114,0.038961174,0.280520454,0.327273864,0.007792235,0.007792235,0.01558447,0.031168939,0.01558447
CBLC,19,11,40,47,8,2,4,3,10,259,1.52E-05,7.05E-06,1.17E-06,548,0.327450738,0.189576743,0.689369974,0.810009719,0.137873995,0.034468499,0.068936997,0.051702748,0.172342493
CBLL1,0,2,9,9,0,0,0,0,0,219,1.47E-05,4.64E-06,1.41E-06,454,0,0.031310655,0.140897948,0.140897948,0,0,0,0,0
CBLL2,4,5,16,18,2,0,1,0,1,NA,NA,NA,NA,332,NA,NA,NA,NA,NA,NA,NA,NA,NA
CBLN1,1,1,6,7,1,0,0,0,0,69,4.92E-06,2.16E-06,2.80E-07,194,0.063154719,0.063154719,0.378928314,0.442083033,0.063154719,0,0,0,0
CBLN2,2,3,13,13,0,0,0,0,2,71,5.65E-06,2.89E-06,2.27E-07,249,0.142471428,0.213707142,0.926064283,0.926064283,0,0,0,0,0.142471428
CBLN3,13,5,16,24,3,0,3,6,3,69,8.07E-06,3.44E-06,7.31E-07,248,0.418968331,0.161141666,0.515653331,0.773479996,0.096685,0,0.096685,0.193369999,0.096685
CBLN4,2,2,17,17,0,0,0,0,2,77,7.25E-06,4.07E-06,2.64E-07,195,0.205334888,0.205334888,1.74534655,1.74534655,0,0,0,0,0.205334888
CBR1,17,9,43,52,8,2,2,4,8,92,8.13E-06,3.94E-06,4.44E-07,501,0.444290519,0.235212628,1.123793667,1.359006295,0.209077892,0.052269473,0.052269473,0.104538946,0.209077892
CBR3,16,7,19,29,4,2,4,6,3,95,7.22E-06,3.26E-06,3.08E-07,268,0.961212098,0.420530293,1.141439366,1.742196927,0.240303024,0.120151512,0.240303024,0.360454537,0.180227268
CBR3-AS1,1,0,3,3,0,0,0,0,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
CBR4,15,9,22,30,6,0,1,3,5,119,5.75E-06,2.20E-06,3.60E-07,245,0.66168042,0.397008252,0.970464617,1.323360841,0.264672168,0,0.044112028,0.132336084,0.22056014
CBWD1,2,3,10,11,1,0,0,1,1,322,6.49E-06,2.49E-06,6.39E-07,122,0.11885524,0.17828286,0.594276199,0.653703819,0.05942762,0,0,0.05942762,0.05942762
CBWD2,1,1,3,4,1,0,0,0,0,322,5.66E-06,2.23E-06,6.10E-07,55,0.12279831,0.12279831,0.368394931,0.491193241,0.12279831,0,0,0,0
CBWD3,1,1,1,1,1,0,0,0,1,325,2.12E-06,8.46E-07,3.14E-07,1,5.193633098,5.193633098,5.193633098,5.193633098,5.193633098,0,0,0,5.193633098
CBWD5,2,0,3,5,2,0,0,0,0,283,1.01E-06,5.81E-07,9.18E-08,12,1.448946102,0,2.173419154,3.622365256,1.448946102,0,0,0,0
CBWD6,3,1,6,7,1,1,0,2,2,313,3.46E-06,1.34E-06,3.65E-07,61,0.336530169,0.112176723,0.673060338,0.785237061,0.112176723,0.112176723,0,0.224353446,0.224353446
CBX1,0,0,14,14,0,0,0,0,0,128,5.32E-06,2.02E-06,7.17E-07,111,0,0,0.699800083,0.699800083,0,0,0,0,0
CBX2,11,10,41,44,2,1,2,3,7,190,2.09E-05,1.03E-05,8.58E-07,920,0.205451108,0.186773734,0.765772311,0.821804432,0.037354747,0.018677373,0.037354747,0.05603212,0.130741614
CBX3,4,3,13,15,1,1,0,1,1,131,4.03E-06,1.49E-06,4.58E-07,130,0.195630932,0.146723199,0.63580053,0.733615996,0.048907733,0.048907733,0,0.048907733,0.048907733
CBX4,2,3,12,13,0,0,0,1,1,222,2.61E-05,1.41E-05,7.13E-07,672,0.077460028,0.116190042,0.464760166,0.50349018,0,0,0,0.038730014,0.038730014
CBX5,1,3,6,6,1,0,0,0,0,121,5.12E-06,1.89E-06,3.57E-07,116,0.083865781,0.251597344,0.503194689,0.503194689,0.083865781,0,0,0,0
CBX6,1,1,7,8,1,0,0,0,0,146,1.98E-05,1.06E-05,4.89E-07,475,0.060301793,0.060301793,0.422112552,0.482414346,0.060301793,0,0,0,0
CBX7,4,2,11,11,0,0,0,0,4,148,1.01E-05,5.24E-06,6.77E-07,268,0.165157099,0.08257855,0.454182022,0.454182022,0,0,0,0,0.165157099
CBX8,1,0,10,11,0,0,1,0,0,180,1.46E-05,6.19E-06,1.39E-06,478,0.01599021,0,0.159902097,0.175892307,0,0,0.01599021,0,0
CBY1,4,3,10,11,1,0,0,2,3,76,5.32E-06,1.86E-06,3.57E-07,172,0.231006971,0.173255228,0.577517427,0.63526917,0.057751743,0,0,0.115503485,0.173255228
CBY3,11,8,27,35,4,0,0,6,2,69,7.66E-06,3.54E-06,3.34E-07,391,0.447397918,0.325380304,1.098158525,1.423538829,0.162690152,0,0,0.244035228,0.081345076
CC2D1A,23,16,62,76,3,1,3,12,7,615,4.02E-05,1.70E-05,2.86E-06,1049,0.216595499,0.15067513,0.583866129,0.715706868,0.028251587,0.009417196,0.028251587,0.113006348,0.065920369
CC2D1B,45,34,109,128,12,2,6,14,20,547,3.05E-05,1.21E-05,3.04E-06,1015,0.32030211,0.242006039,0.77584289,0.911081559,0.085413896,0.014235649,0.042706948,0.099649545,0.142356494
CC2D2A,56,54,161,185,20,4,12,15,23,1099,4.39E-05,1.56E-05,5.52E-06,1588,0.204305401,0.19700878,0.587378028,0.674937486,0.072966215,0.014593243,0.043779729,0.054724661,0.083911147
CC2D2B,69,32,106,141,20,0,11,24,28,281,9.24E-06,3.44E-06,1.30E-06,996,0.369924845,0.171559349,0.568290342,0.75593338,0.107224593,0,0.058973526,0.128669511,0.15011443
CCAR1,9,18,88,93,5,1,2,7,3,833,3.23E-05,1.01E-05,4.25E-06,895,0.05466028,0.10932056,0.53445607,0.564822892,0.030366822,0.006073364,0.012146729,0.042513551,0.018220093
CCAR2,14,7,40,47,7,0,1,3,6,531,3.41E-05,1.27E-05,2.53E-06,1064,0.121530173,0.060765087,0.347229066,0.407994153,0.060765087,0,0.008680727,0.02604218,0.05208436
CCBE1,12,6,35,41,4,1,1,2,6,272,1.36E-05,5.35E-06,1.13E-06,487,0.208961435,0.104480718,0.609470853,0.713951571,0.069653812,0.017413453,0.017413453,0.034826906,0.104480718
CCDC102A,5,9,42,44,1,0,0,1,3,255,2.14E-05,8.09E-06,9.36E-07,700,0.107255537,0.193059966,0.900946509,0.943848723,0.021451107,0,0,0.021451107,0.064353322
CCDC102B,32,15,67,82,11,0,1,12,12,331,1.29E-05,4.42E-06,1.46E-06,547,0.367466065,0.172249718,0.769382073,0.94163179,0.12631646,0,0.011483315,0.137799774,0.137799774
CCDC103,7,5,17,19,4,0,1,0,3,88,8.02E-06,3.17E-06,5.52E-07,229,0.306126112,0.218661508,0.743449129,0.830913732,0.174929207,0,0.043732302,0,0.131196905
CCDC105,15,15,52,62,5,0,3,8,3,212,1.79E-05,8.51E-06,9.53E-07,641,0.311484907,0.311484907,1.079814345,1.28747095,0.103828302,0,0.062296981,0.166125284,0.062296981
CCDC106,6,2,20,25,0,0,0,5,1,121,1.40E-05,6.14E-06,4.13E-07,340,0.400085953,0.133361984,1.333619845,1.667024806,0,0,0,0.333404961,0.066680992
CCDC107,14,8,44,49,1,2,1,4,7,127,7.60E-06,3.65E-06,4.70E-07,362,0.449576273,0.256900727,1.412954,1.573516955,0.032112591,0.064225182,0.032112591,0.128450364,0.224788136
CCDC110,33,27,86,99,6,0,3,14,16,473,1.85E-05,6.98E-06,1.62E-06,756,0.348621566,0.285235826,0.908528929,1.045864697,0.063385739,0,0.03169287,0.147900058,0.169028638
CCDC112,12,4,49,55,3,1,1,1,6,376,1.14E-05,3.62E-06,1.37E-06,530,0.132937375,0.044312458,0.542827616,0.609296304,0.033234344,0.011078115,0.011078115,0.011078115,0.066468688
CCDC113,25,17,45,53,3,0,2,11,13,250,1.27E-05,4.61E-06,1.38E-06,402,0.409154929,0.278225352,0.736478873,0.86740845,0.049098592,0,0.032732394,0.180028169,0.212760563
CCDC114,15,7,48,56,2,0,2,5,7,302,2.88E-05,1.31E-05,1.22E-06,805,0.303860494,0.141801564,0.972353582,1.134412512,0.040514733,0,0.040514733,0.101286831,0.141801564
CCDC115,12,7,31,39,2,1,3,3,4,95,5.88E-06,2.03E-06,3.90E-07,318,0.378416797,0.220743131,0.977576725,1.229854589,0.063069466,0.031534733,0.094604199,0.094604199,0.126138932
CCDC116,15,13,43,50,4,0,3,4,6,146,2.45E-05,9.58E-06,7.57E-07,791,0.398073067,0.344996658,1.141142792,1.326910224,0.106152818,0,0.079614613,0.106152818,0.159229227
CCDC117,6,2,9,15,5,0,1,1,0,127,5.53E-06,1.71E-06,5.27E-07,300,0.142169907,0.047389969,0.21325486,0.355424767,0.118474922,0,0.023694984,0.023694984,0
CCDC12,13,6,28,33,2,0,2,6,5,136,5.55E-06,2.49E-06,5.56E-07,207,0.46634516,0.215236227,1.004435728,1.183799251,0.071745409,0,0.071745409,0.215236227,0.179363523
CCDC120,6,9,27,30,1,0,1,3,2,256,2.68E-05,9.81E-06,1.02E-06,640,0.159408235,0.239112352,0.717337057,0.797041174,0.026568039,0,0.026568039,0.079704117,0.053136078
CCDC121,24,9,37,50,8,1,3,10,7,45,1.13E-05,4.59E-06,1.92E-07,418,2.171355555,0.814258333,3.347506481,4.523657407,0.723785185,0.090473148,0.271419444,0.904731481,0.633312037
CCDC122,17,15,47,54,6,1,5,3,8,184,5.46E-06,1.71E-06,8.30E-07,273,0.301305391,0.265857698,0.833020786,0.957087712,0.106343079,0.017723847,0.088619233,0.05317154,0.141790772
CCDC124,3,4,15,17,0,0,0,2,1,102,1.25E-05,5.18E-06,3.97E-07,254,0.245156077,0.326874769,1.225780385,1.38921777,0,0,0,0.163437385,0.081718692
CCDC125,25,20,52,61,8,1,4,7,12,347,1.29E-05,4.92E-06,1.09E-06,427,0.482536312,0.38602905,1.003675529,1.177388601,0.15441162,0.019301452,0.07720581,0.135110167,0.23161743
CCDC126,3,0,6,8,2,0,0,0,1,67,3.81E-06,1.57E-06,3.22E-07,118,0.214647187,0,0.429294375,0.5723925,0.143098125,0,0,0,0.071549062
CCDC127,7,5,19,20,3,1,0,1,3,117,9.27E-06,3.58E-06,7.92E-07,233,0.246637674,0.176169767,0.669445115,0.704679068,0.10570186,0.035233953,0,0.035233953,0.10570186
CCDC129,58,36,125,149,23,2,11,16,22,566,2.63E-05,1.05E-05,2.40E-06,1221,0.371516718,0.230596584,0.800682582,0.954413638,0.147325595,0.012810921,0.070460067,0.10248737,0.140920134
CCDC13,26,22,54,65,10,1,4,5,8,426,2.52E-05,1.07E-05,2.30E-06,710,0.289915506,0.24531312,0.602132205,0.724788765,0.111505964,0.011150596,0.044602386,0.055752982,0.089204771
CCDC130,20,16,50,55,3,0,1,4,13,185,1.84E-05,8.48E-06,8.97E-07,570,0.501856179,0.401484943,1.254640447,1.380104492,0.075278427,0,0.025092809,0.100371236,0.326206516
CCDC134,5,7,24,25,0,0,0,2,4,120,8.13E-06,3.40E-06,5.49E-07,223,0.231611814,0.324256539,1.111736707,1.158059069,0,0,0,0.092644726,0.185289451
CCDC136,19,18,83,93,3,0,1,7,8,751,3.26E-05,1.29E-05,2.63E-06,1120,0.147218061,0.139469742,0.643110478,0.720593668,0.023244957,0,0.007748319,0.054238233,0.061986552
CCDC137,13,11,36,42,6,1,3,3,2,143,1.02E-05,4.08E-06,9.41E-07,384,0.261624012,0.221374164,0.724497264,0.845246808,0.120749544,0.020124924,0.060374772,0.060374772,0.040249848
CCDC138,41,20,74,95,16,1,2,10,14,467,1.58E-05,6.04E-06,1.60E-06,709,0.408654616,0.199343715,0.737571745,0.946882646,0.159474972,0.009967186,0.019934371,0.099671857,0.1395406
CCDC14,55,25,101,129,17,0,4,14,25,516,2.17E-05,7.77E-06,2.14E-06,1041,0.375931965,0.170878166,0.69034779,0.881731336,0.116197153,0,0.027340507,0.095691773,0.170878166
CCDC140,8,6,15,19,3,0,0,1,4,NA,3.95E-06,1.66E-06,NA,221,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCDC141,59,32,133,160,17,0,5,21,26,976,3.77E-05,1.50E-05,3.51E-06,1627,0.278230467,0.15090466,0.627197493,0.7545233,0.080168101,0,0.023578853,0.099031183,0.122610036
CCDC142,28,16,77,89,9,0,2,5,15,361,2.07E-05,9.20E-06,1.76E-06,844,0.283461483,0.16197799,0.779519077,0.901002569,0.091112619,0,0.020247249,0.050618122,0.151854366
CCDC144A,12,5,27,30,4,0,0,2,8,909,2.75E-05,1.16E-05,2.45E-06,249,0.390610262,0.162754276,0.87887309,0.976525655,0.130203421,0,0,0.06510171,0.260406841
CCDC144NL,24,17,47,57,11,1,2,9,10,107,7.98E-06,4.07E-06,3.94E-07,429,0.815481671,0.57763285,1.596984939,1.936768969,0.373762433,0.033978403,0.067956806,0.305805627,0.33978403
CCDC146,49,24,93,117,16,1,5,16,19,676,2.47E-05,8.77E-06,3.02E-06,895,0.324184205,0.158784101,0.61528839,0.77407249,0.105856067,0.006616004,0.033080021,0.105856067,0.12570408
CCDC148,43,23,79,104,15,5,4,10,10,481,1.37E-05,4.35E-06,1.67E-06,609,0.410427677,0.219531083,0.754041545,0.992662288,0.143172445,0.047724148,0.038179319,0.095448297,0.095448297
CCDC149,9,11,41,47,4,0,1,2,3,291,1.49E-05,6.84E-06,1.42E-06,557,0.126442931,0.15454136,0.576017795,0.660313082,0.056196858,0,0.014049215,0.028098429,0.042147644
CCDC15,40,33,93,108,12,2,3,10,19,612,2.01E-05,7.41E-06,2.21E-06,928,0.281312247,0.232082604,0.654050975,0.759543067,0.084393674,0.014065612,0.021098419,0.070328062,0.133623317
CCDC150,60,40,136,163,22,5,11,19,22,813,2.70E-05,8.79E-06,3.40E-06,1219,0.279432912,0.186288608,0.633381268,0.759126078,0.102458734,0.023286076,0.051229367,0.088487089,0.102458734
CCDC151,12,11,41,45,1,2,1,3,8,359,2.06E-05,8.07E-06,1.57E-06,668,0.163681416,0.150041298,0.559244839,0.613805311,0.013640118,0.027280236,0.013640118,0.040920354,0.109120944
CCDC152,7,3,23,26,0,1,1,2,3,214,4.84E-06,1.35E-06,4.62E-07,201,0.242174174,0.103788932,0.795715145,0.899504077,0,0.034596311,0.034596311,0.069192621,0.103788932
CCDC153,12,12,29,32,6,1,2,3,7,124,7.29E-06,2.16E-06,8.09E-07,235,0.315915429,0.315915429,0.763462287,0.842441145,0.157957715,0.026326286,0.052652572,0.078978857,0.184284
CCDC154,43,33,94,107,11,3,2,10,21,406,2.62E-05,1.30E-05,1.51E-06,966,0.559056557,0.429043404,1.222123636,1.391140735,0.143014468,0.039003946,0.026002631,0.130013153,0.273027621
CCDC155,29,18,53,69,10,0,4,7,10,408,1.79E-05,6.56E-06,1.75E-06,570,0.367136621,0.227877903,0.670973825,0.873531961,0.126598835,0,0.050639534,0.088619184,0.126598835
CCDC157,34,26,70,85,11,0,3,7,17,327,2.91E-05,1.20E-05,1.53E-06,852,0.517494628,0.395731186,1.065430115,1.293736569,0.167424732,0,0.045661291,0.106543012,0.258747314
CCDC158,48,35,103,120,13,0,2,19,26,775,3.10E-05,9.16E-06,3.33E-06,1037,0.294337163,0.214620848,0.631598495,0.735842907,0.079716315,0,0.012264048,0.11650846,0.15943263
CCDC159,17,9,34,43,7,2,3,8,7,246,9.19E-06,3.48E-06,1.13E-06,345,0.294154587,0.155728899,0.588309173,0.744038072,0.121122477,0.034606422,0.051909633,0.138425688,0.121122477
CCDC160,5,3,11,14,1,0,1,2,2,145,5.85E-06,2.22E-06,2.98E-07,211,0.309096947,0.185458168,0.680013282,0.86547145,0.061819389,0,0.061819389,0.123638779,0.123638779
CCDC166,18,11,48,59,2,1,5,5,5,54,1.89E-05,9.98E-06,2.66E-07,706,1.256096949,0.767614802,3.349591863,4.117206665,0.139566328,0.069783164,0.348915819,0.348915819,0.348915819
CCDC167,10,1,14,18,2,0,0,4,5,64,3.59E-06,1.27E-06,2.13E-07,112,0.997256726,0.099725673,1.396159416,1.795062106,0.199451345,0,0,0.39890269,0.498628363
CCDC168,190,129,500,576,57,3,17,51,92,519,5.88E-05,2.29E-05,1.74E-06,6823,0.607419312,0.412405743,1.598471873,1.841439598,0.182225794,0.009590831,0.054348044,0.163044131,0.294118825
CCDC169,20,7,34,46,7,0,0,6,7,177,5.72E-06,1.91E-06,7.54E-07,294,0.374069813,0.130924435,0.635918682,0.86036057,0.130924435,0,0,0.112220944,0.130924435
CCDC169-SOHLH2,0,1,1,1,0,0,0,0,0,381,1.32E-05,5.63E-06,1.26E-06,1,0,7.64878428,7.64878428,7.64878428,0,0,0,0,0
CCDC17,52,25,86,116,13,2,5,21,16,306,2.46E-05,1.01E-05,1.65E-06,797,0.676555579,0.325267106,1.118918843,1.50923937,0.169138895,0.026021368,0.065053421,0.273224369,0.208170948
CCDC170,42,22,71,90,13,1,4,19,15,434,1.92E-05,7.59E-06,1.89E-06,765,0.400416338,0.209741891,0.676894286,0.85803501,0.12393839,0.009533722,0.038134889,0.181140724,0.143005835
CCDC171,54,47,150,170,12,1,3,19,24,930,3.40E-05,1.20E-05,4.00E-06,1666,0.198328501,0.172619251,0.550912503,0.624367504,0.044073,0.00367275,0.01101825,0.06978225,0.088146001
CCDC172,13,10,33,41,5,1,1,2,4,211,5.47E-06,1.78E-06,6.48E-07,226,0.34342045,0.264169577,0.871759603,1.083095264,0.132084788,0.026416958,0.026416958,0.052833915,0.105667831
CCDC173,42,26,90,100,8,3,3,9,26,394,1.27E-05,3.68E-06,1.73E-06,535,0.409338653,0.253400118,0.877154256,0.97461584,0.077969267,0.029238475,0.029238475,0.087715426,0.253400118
CCDC174,16,14,54,62,5,0,3,4,4,327,1.45E-05,4.95E-06,1.60E-06,468,0.219587346,0.192138927,0.741107291,0.850900964,0.068621045,0,0.041172627,0.054896836,0.054896836
CCDC175,49,30,118,142,18,2,9,18,17,618,1.50E-05,5.08E-06,2.08E-06,810,0.320603942,0.196288128,0.772066636,0.929097138,0.117772877,0.013085875,0.058886438,0.117772877,0.111229939
CCDC177,10,10,43,47,3,0,1,1,5,NA,2.25E-06,1.06E-06,NA,1037,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCDC178,53,35,111,135,21,2,5,15,24,667,1.84E-05,6.25E-06,2.06E-06,817,0.408651218,0.269864012,0.855854437,1.040904045,0.161918407,0.015420801,0.038552002,0.115656005,0.185049608
CCDC179,6,1,12,14,1,0,0,3,3,59,1.34E-06,4.27E-07,1.51E-07,77,0.482640824,0.080440137,0.965281648,1.126161923,0.080440137,0,0,0.241320412,0.241320412
CCDC18,87,45,148,195,21,1,12,32,30,1147,3.33E-05,1.16E-05,4.13E-06,1313,0.385911703,0.199609501,0.656493471,0.864974506,0.093151101,0.004435767,0.0532292,0.141944534,0.133073001
CCDC18-AS1,0,1,1,1,0,0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCDC180,64,36,117,146,24,3,8,14,24,1118,5.09E-05,2.06E-05,5.38E-06,1701,0.259847809,0.146164393,0.475034276,0.592777815,0.097442928,0.012180366,0.032480976,0.056841708,0.097442928
CCDC181,30,19,53,67,10,1,4,5,12,303,1.29E-05,4.41E-06,1.75E-06,470,0.345452538,0.218786607,0.610299484,0.771510668,0.115150846,0.011515085,0.046060338,0.057575423,0.138181015
CCDC182,5,7,25,26,2,0,0,1,3,44,6.46E-06,2.63E-06,1.69E-07,220,0.564973199,0.790962478,2.824865995,2.937860634,0.22598928,0,0,0.11299464,0.338983919
CCDC183,24,16,58,68,10,3,6,2,10,331,1.80E-05,7.84E-06,1.15E-06,696,0.378391868,0.252261245,0.914447014,1.072110293,0.157663278,0.047298983,0.094597967,0.031532656,0.157663278
CCDC183-AS1,0,0,3,3,0,0,0,0,0,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCDC184,7,7,21,24,2,0,0,3,2,NA,NA,NA,NA,242,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCDC185,21,17,42,53,6,0,3,5,9,NA,NA,NA,NA,844,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCDC186,8,14,54,58,3,0,0,1,4,NA,NA,NA,NA,782,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCDC187,37,27,103,118,16,1,4,16,14,NA,NA,NA,NA,1157,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCDC188,25,18,40,52,7,0,3,9,10,NA,NA,NA,NA,480,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCDC189,21,17,52,60,4,0,2,10,9,NA,NA,NA,NA,501,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCDC190,17,7,25,33,5,0,2,4,6,NA,NA,NA,NA,329,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCDC191,62,37,95,123,17,3,9,20,30,NA,NA,NA,NA,914,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCDC194,1,0,2,2,1,0,0,0,1,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCDC198,16,11,32,38,7,3,4,10,8,NA,NA,NA,NA,335,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCDC22,2,1,4,6,0,0,0,2,0,386,2.44E-05,8.80E-06,1.82E-06,430,0.042399004,0.021199502,0.084798008,0.127197011,0,0,0,0.042399004,0
CCDC24,28,15,48,65,10,0,2,11,7,157,8.96E-06,3.46E-06,5.66E-07,380,0.792719638,0.424671235,1.358947952,1.840242018,0.283114157,0,0.056622831,0.311425572,0.19817991
CCDC25,5,4,19,20,1,0,0,2,2,189,5.59E-06,2.07E-06,8.07E-07,179,0.145657765,0.116526212,0.553499508,0.582631061,0.029131553,0,0,0.058263106,0.058263106
CCDC27,42,21,80,102,14,1,5,14,16,384,2.09E-05,1.06E-05,1.96E-06,800,0.427210008,0.213605004,0.813733349,1.03751002,0.142403336,0.010171667,0.050858334,0.142403336,0.16274667
CCDC28A,16,10,40,43,4,0,2,7,9,167,6.98E-06,2.81E-06,6.35E-07,310,0.405356529,0.253347831,1.013391322,1.089395671,0.101339132,0,0.050669566,0.177343481,0.228013048
CCDC28B,7,4,25,26,2,1,0,1,3,103,6.68E-06,2.94E-06,3.17E-07,249,0.407621347,0.232926484,1.455790526,1.514022147,0.116463242,0.058231621,0,0.058231621,0.174694863
